cylinders,make,model,VClass,year,baseModel,atvType
6.0,Chevrolet,Van 1500/2500 2WD,Van,2000,Van 1500/2500,
6.0,Chevrolet,Astro AWD (cargo),Van,2000,Astro Cargo,
6.0,Chevrolet,Astro 2WD (cargo),Van,2000,Astro Cargo,
6.0,Toyota,Tacoma 4WD,Truck,2000,Tacoma,
6.0,Toyota,Tundra 4WD,Truck,2000,Tundra,
8.0,Chevrolet,Van 1500/2500 2WD,Van,2000,Van 1500/2500,
8.0,Toyota,Tundra 4WD,Truck,2000,Tundra,
8.0,Dodge,B2500 Van 2WD,Van,2000,B2500 Van,
8.0,Dodge,B1500 Van 2WD,Van,2000,B1500 Van,
6.0,GMC,Savana 1500/2500 2WD (cargo),Van,2000,Savana Cargo,
6.0,Ford,E150 Econoline 2WD,Van,2000,E150 Econoline,
8.0,Ford,E150 Econoline 2WD,Van,2000,E150 Econoline,
6.0,Ford,E250 Econoline 2WD,Van,2000,E250 Econoline,
8.0,Ford,E250 Econoline 2WD,Van,2000,E250 Econoline,
4.0,Toyota,Tacoma 4WD,Truck,2000,Tacoma,
6.0,Dodge,B1500 Van 2WD,Van,2000,B1500 Van,
6.0,Mazda,B4000 4WD,Truck,2000,B Pickup,
6.0,Nissan,Frontier V6 4WD,Truck,2000,Frontier,
8.0,Dodge,Dakota Pickup 4WD,Truck,2000,Dakota Pickup,
6.0,Dodge,Dakota Pickup 4WD,Truck,2000,Dakota Pickup,
6.0,Chevrolet,S10 Pickup 4WD,Truck,2000,S10 Pickup,
8.0,Chevrolet,Silverado 1500 4WD,Truck,2000,Silverado,
6.0,Chevrolet,Silverado 1500 4WD,Truck,2000,Silverado,
6.0,Toyota,Tacoma 2WD,Truck,2000,Tacoma,
8.0,Toyota,Tundra 2WD,Truck,2000,Tundra,
6.0,Toyota,Tundra 2WD,Truck,2000,Tundra,
4.0,Toyota,Tacoma 2WD,Truck,2000,Tacoma,
8.0,Dodge,Ram 1500 Pickup 4WD,Truck,2000,Ram 1500 Pickup,
6.0,Ford,F150 Pickup 4WD,Truck,2000,F150,
4.0,Nissan,Frontier 4WD,Truck,2000,Frontier,
6.0,Isuzu,Hombre Pickup 4WD,Truck,2000,Hombre Pickup,
6.0,GMC,Sonoma 4WD,Truck,2000,Sonoma,
8.0,GMC,Sierra 1500 4WD,Truck,2000,Sierra,
6.0,GMC,Sierra 1500 4WD,Truck,2000,Sierra,
6.0,Ford,Ranger Pickup 4WD,Truck,2000,Ranger,
8.0,Ford,F150 Pickup 4WD,Truck,2000,F150,
,Ford,Ranger Pickup 2WD,Truck,2000,Ranger,EV
6.0,Nissan,Frontier V6 2WD,Truck,2000,Frontier,
4.0,Isuzu,Hombre Pickup 2WD,Truck,2000,Hombre Pickup,
6.0,Isuzu,Hombre Pickup 2WD,Truck,2000,Hombre Pickup,
6.0,Chevrolet,Silverado 1500 2WD,Truck,2000,Silverado,
6.0,GMC,Sonoma 2WD,Truck,2000,Sonoma,
8.0,Chevrolet,Silverado 1500 2WD,Truck,2000,Silverado,
8.0,Chevrolet,Silverado 2500 2WD,Truck,2000,Silverado,
4.0,Dodge,Dakota Pickup 2WD,Truck,2000,Dakota Pickup,
6.0,Dodge,Dakota Pickup 2WD,Truck,2000,Dakota Pickup,
4.0,GMC,Sonoma 2WD,Truck,2000,Sonoma,
5.0,Volvo,V70 FWD,Sedan,2000,V70,
5.0,Volvo,V70 AWD,Sedan,2000,V70,
4.0,Chevrolet,S10 Pickup 2WD,Truck,2000,S10 Pickup,
6.0,Chevrolet,S10 Pickup 2WD,Truck,2000,S10 Pickup,
8.0,Dodge,Dakota Pickup 2WD,Truck,2000,Dakota Pickup,
8.0,GMC,Sierra 1500 2WD,Truck,2000,Sierra,
8.0,GMC,Sierra 2500 2WD,Truck,2000,Sierra,
4.0,Mazda,2500 2WD,Truck,2000,B Pickup,
6.0,Mazda,B4000 2WD,Truck,2000,B Pickup,
4.0,Nissan,Frontier 2WD,Truck,2000,Frontier,
8.0,Ford,Crown Victoria Police,Sedan,2000,Crown Victoria,
8.0,Chevrolet,Tahoe 1500 2WD,SUV,2000,Tahoe,
8.0,GMC,Savana 1500/2500 2WD (cargo),Van,2000,Savana Cargo,
6.0,GMC,Sierra 1500 2WD,Truck,2000,Sierra,
